n,Divide and Conquer,Dynamic Programming
50,0,0
10050,0,0
20050,1,0
30050,0,0
40050,2,0
50050,1,0
60050,3,1
70050,3,0
80050,4,0
90050,6,0
100050,4,0
110050,5,0
120050,6,0
130050,7,0
140050,7,0
150050,8,1
160050,8,0
170050,9,0
180050,9,1
190050,9,0
200050,11,0
210050,11,1
220050,12,1
230050,12,0
240050,12,1
250050,16,1
260050,13,0
270050,15,0
280050,18,0
290050,17,0
300050,19,1
310050,20,0
320050,20,0
330050,20,0
340050,21,0
350050,23,0
360050,20,1
370050,21,0
380050,21,0
390050,22,0
400050,22,0
410050,23,0
420050,24,0
430050,23,1
440050,26,1
450050,26,0
460050,26,1
470050,26,1
480050,26,1
490050,27,1
500050,27,1
510050,28,0
520050,28,0
530050,34,0
540050,33,0
550050,34,1
560050,35,0
570050,34,0
580050,34,1
590050,37,1
600050,36,0
610050,43,1
620050,37,1
630050,38,2
640050,37,2
650050,42,1
660050,40,2
670050,43,0
680050,41,2
690050,40,1
700050,40,2
710050,43,1
720050,42,2
730050,43,1
740050,44,1
750050,43,0
760050,45,2
770050,46,1
780050,44,2
790050,44,2
800050,49,1
810050,48,1
820050,51,1
830050,49,2
840050,50,2
850050,50,1
860050,52,2
870050,51,2
880050,53,2
890050,52,2
900050,53,2
910050,54,2
920050,53,2
930050,54,1
940050,54,2
950050,55,1
960050,55,2
970050,57,2
980050,56,3
990050,56,1
1000050,58,1
1010050,59,3
1020050,58,2
1030050,59,1
1040050,58,1
1050050,65,3
1060050,69,3
1070050,69,2
1080050,68,1
1090050,67,3
1100050,75,3
1110050,71,3
1120050,68,2
1130050,73,2
1140050,70,2
1150050,77,3
1160050,72,3
1170050,71,3
1180050,71,3
1190050,73,3
1200050,75,1
1210050,77,2
1220050,76,2
1230050,75,2
1240050,74,3
1250050,79,2
1260050,84,2
1270050,77,2
1280050,78,3
1290050,79,2
1300050,81,2
1310050,80,3
1320050,78,3
1330050,81,4
1340050,84,3
1350050,87,3
1360050,80,4
1370050,80,3
1380050,84,4
1390050,83,2
1400050,83,3
1410050,85,3
1420050,86,3
1430050,86,3
1440050,87,2
1450050,87,4
1460050,88,3
1470050,87,4
1480050,88,2
1490050,89,4
1500050,90,3
1510050,93,3
1520050,93,3
1530050,92,4
1540050,95,3
1550050,93,3
1560050,93,2
1570050,92,4
1580050,91,4
1590050,94,3
1600050,95,4
1610050,96,4
1620050,96,3
1630050,97,4
1640050,114,3
1650050,105,3
1660050,99,4
1670050,109,4
1680050,96,3
1690050,98,4
1700050,99,3
1710050,103,3
1720050,102,5
1730050,102,3
